,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
351,181,295548,0.0316012735828108
352,180,90722,0.0190570551679572
353,180,159268,0.0320093654240331
354,179,298928,0.0371667043685165
355,181,130132,0.0480235192091919
356,181,117350,0.0250331579801846
357,181,136415,0.0370327458680208
358,181,115595,0.0229471814442765
359,181,114244,0.03744147127838
360,181,131663,0.0254070315948646
361,178,293924,0.0292001898612685
362,180,41830,0.0334152669071093
363,181,134695,0.0552431625746967
364,113,61716,0.0264233074303021
365,175,163460,0.0318792019483726
366,181,113743,0.0318219394680828
367,181,137015,0.0499532799556069
368,181,230672,0.04450917320719999
369,180,349028,0.0590037211465625
370,181,80126,0.0372118364468778
371,181,97541,0.0476933582485162
372,181,150480,0.0709870768000223
373,180,124688,0.0280440447327311
374,180,54402,0.0627434383145734
375,173,170518,0.0531500090996946
376,181,135958,0.066033234138958
377,181,138345,0.050619067004812994
378,180,279320,0.0390461049653544
379,119,384890,0.0284027440674927
380,181,186637,0.0466138749236073
381,181,580896,0.0495013663005159
382,181,100778,0.0488803806802572
383,150,84116,0.0395381449292575
384,181,214928,0.0530399842314245
385,181,130995,0.0322787880010374
386,180,53478,0.0779166459560105
387,179,334753,0.0491953885742297
388,176,842630,0.0317101174408328
389,180,242448,0.0687286621543612
390,181,79492,0.0423549443058169
