,Number_of_Unique_Hues,Pixels_Belong_To_Dominant_Hue,like_rate
441,164,161069,0.0240722889599508
442,180,146130,0.0539558256214827
443,180,139661,0.038375275589286
444,170,58271,0.0298804689501156
445,180,151376,0.0280628060892259
446,177,10044,0.0693620112792882
447,92,165917,0.0478332244100497
448,137,70357,0.0421345933919507
449,165,96002,0.0369445891152329
450,170,116409,0.0348987065340394
451,170,200448,0.0263081567352044
452,173,175154,0.0340992759343468
453,153,61247,0.0505542029638625
454,154,186576,0.0380055401119162
455,164,193862,0.0398109268116922
456,93,175574,0.2449301471361319
457,163,194459,0.03284382341106
458,114,75717,0.1841616394823301
459,168,206293,0.0246883415915164
460,65,433030,0.324254892605426
461,109,235449,0.1942110706676634
462,174,196091,0.0302188418781238
463,156,1037367,0.218784899863522
464,156,158196,0.0390834352049339
465,176,153158,0.0693032232917141
466,136,153323,0.2455686652639528
467,170,269961,0.0386648296926679
468,136,367035,0.1878336015419587
469,142,85375,0.0331731656187288
470,174,98291,0.0349678228192461
471,152,131133,0.0259773177875315
472,156,100307,0.0750053462546169
473,173,90257,0.035194923896899
474,178,129130,0.0688616081070278
475,136,120911,0.2817620215077453
476,167,146699,0.072755494128285
477,180,35868,0.1269042493708795
478,153,89245,0.0299428847012851
479,166,162277,0.0331072380969247
480,132,16201,0.030138410664003
481,150,400566,0.032756718247519
482,150,110775,0.0414598945611014
483,172,24209,0.0689052671796441
484,169,84275,0.0294775861661546
485,172,76465,0.0493668400556736
486,116,170243,0.0932237496655375
487,170,119738,0.033851455324748
488,180,59586,0.0417375127195951
489,173,63317,0.0573466016607947
490,113,159972,0.0977230607968442
491,180,69951,0.0323596472326722
492,100,253532,0.4167687852459067
493,82,173826,0.4343297437690248
494,173,50092,0.0564541041701624
495,179,45728,0.0847108164612017
496,179,69227,0.0578415806369705
497,180,77857,0.0755767533075366
498,146,129331,0.0634393124057949
499,164,26722,0.0606706487165271
500,153,49870,0.0660371381082608
501,162,167940,0.0421068111117176
502,153,96755,0.0398430935246358
503,180,204415,0.0701162812353005
504,152,74677,0.0377843626208724
505,159,337172,0.0343366554214009
506,148,92101,0.0319668688993781
507,167,119792,0.0347492561114654
508,162,61990,0.0348231364618958
509,172,78406,0.0467234477810453
510,140,109359,0.0354415206443124
511,169,253594,0.0441152612055062
512,70,364521,0.3930707055396814
513,175,78764,0.0361896486526125
514,143,130535,0.0340506453176139
515,153,217651,0.6178439764299646
516,104,195758,1.125924999931725
517,157,27514,0.053274136044533
518,172,121523,0.050000733491125
519,96,14249,0.5962328767878363
520,180,41903,0.0347770103195533
521,165,67642,0.0419114662783898
522,83,421143,0.4154708174176348
523,125,121473,0.0573587374170106
524,142,307618,0.5668846747072146
525,167,25764,0.0600013295197262
526,45,271025,0.7787166207757349
527,144,3229,0.0769544285754712
528,174,88904,0.0414718085388848
529,179,185676,0.0319704496055302
530,125,176299,0.8106937678876924
531,152,271157,0.0421099396771008
532,168,230564,0.045584271168025
533,180,44842,0.030483578239677
534,104,714187,0.5628595634508781
535,181,228645,0.0319407315945134
